Date,ProductID,ProductName,SupplierID,Quantity,CostPrice,SellPrice,StockQty,MinStock,PromotionFlag,HolidayFlag
2023-01-01,P001,Rice 5kg,S01,55,200,250,91,30,0,1
2023-01-01,P002,Milk 1L,S02,47,35,50,107,50,0,1
2023-01-01,P003,Wheat 5kg,S01,53,180,230,21,40,0,1
2023-01-01,P004,Sugar 1kg,S03,33,40,60,40,60,0,1
2023-01-02,P001,Rice 5kg,S01,31,200,250,34,30,0,0
2023-01-02,P002,Milk 1L,S02,16,35,50,92,50,0,0
2023-01-02,P003,Wheat 5kg,S01,20,180,230,28,40,0,0
2023-01-02,P004,Sugar 1kg,S03,13,40,60,191,60,0,0
2023-01-03,P001,Rice 5kg,S01,55,200,250,123,30,0,0
2023-01-03,P002,Milk 1L,S02,11,35,50,165,50,0,0
2023-01-03,P003,Wheat 5kg,S01,41,180,230,114,40,1,0
2023-01-03,P004,Sugar 1kg,S03,18,40,60,59,60,1,0
2023-01-04,P001,Rice 5kg,S01,28,200,250,143,30,0,0
2023-01-04,P002,Milk 1L,S02,44,35,50,90,50,0,0
2023-01-04,P003,Wheat 5kg,S01,7,180,230,158,40,0,0
2023-01-04,P004,Sugar 1kg,S03,20,40,60,24,60,1,0
2023-01-05,P001,Rice 5kg,S01,45,200,250,181,30,0,0
2023-01-05,P002,Milk 1L,S02,35,35,50,191,50,0,0
2023-01-05,P003,Wheat 5kg,S01,37,180,230,194,40,0,0
2023-01-05,P004,Sugar 1kg,S03,12,40,60,161,60,0,0
2023-01-06,P001,Rice 5kg,S01,21,200,250,143,30,0,0
2023-01-06,P002,Milk 1L,S02,44,35,50,115,50,0,0
2023-01-06,P003,Wheat 5kg,S01,41,180,230,190,40,0,0
2023-01-06,P004,Sugar 1kg,S03,14,40,60,105,60,1,0
2023-01-07,P001,Rice 5kg,S01,14,200,250,103,30,1,1
2023-01-07,P002,Milk 1L,S02,18,35,50,148,50,0,1
2023-01-07,P003,Wheat 5kg,S01,28,180,230,174,40,0,1
2023-01-07,P004,Sugar 1kg,S03,50,40,60,171,60,1,1
2023-01-08,P001,Rice 5kg,S01,41,200,250,132,30,0,1
2023-01-08,P002,Milk 1L,S02,17,35,50,132,50,0,1
2023-01-08,P003,Wheat 5kg,S01,25,180,230,148,40,0,1
2023-01-08,P004,Sugar 1kg,S03,11,40,60,179,60,0,1
2023-01-09,P001,Rice 5kg,S01,18,200,250,57,30,0,0
2023-01-09,P002,Milk 1L,S02,46,35,50,163,50,1,0
2023-01-09,P003,Wheat 5kg,S01,17,180,230,183,40,0,0
2023-01-09,P004,Sugar 1kg,S03,16,40,60,71,60,1,0
2023-01-10,P001,Rice 5kg,S01,47,200,250,148,30,0,0
2023-01-10,P002,Milk 1L,S02,28,35,50,61,50,0,0
2023-01-10,P003,Wheat 5kg,S01,30,180,230,79,40,0,0
2023-01-10,P004,Sugar 1kg,S03,15,40,60,28,60,0,0
2023-01-11,P001,Rice 5kg,S01,30,200,250,183,30,1,0
2023-01-11,P002,Milk 1L,S02,30,35,50,118,50,1,0
2023-01-11,P003,Wheat 5kg,S01,21,180,230,73,40,0,0
2023-01-11,P004,Sugar 1kg,S03,49,40,60,40,60,0,0
2023-01-12,P001,Rice 5kg,S01,22,200,250,52,30,0,0
2023-01-12,P002,Milk 1L,S02,27,35,50,57,50,1,0
2023-01-12,P003,Wheat 5kg,S01,19,180,230,49,40,0,0
2023-01-12,P004,Sugar 1kg,S03,35,40,60,166,60,0,0
2023-01-13,P001,Rice 5kg,S01,23,200,250,114,30,1,0
2023-01-13,P002,Milk 1L,S02,30,35,50,179,50,1,0
2023-01-13,P003,Wheat 5kg,S01,8,180,230,73,40,0,0
2023-01-13,P004,Sugar 1kg,S03,36,40,60,194,60,1,0
2023-01-14,P001,Rice 5kg,S01,8,200,250,36,30,1,1
2023-01-14,P002,Milk 1L,S02,21,35,50,189,50,1,1
2023-01-14,P003,Wheat 5kg,S01,39,180,230,79,40,0,1
2023-01-14,P004,Sugar 1kg,S03,51,40,60,163,60,0,1
2023-01-15,P001,Rice 5kg,S01,31,200,250,70,30,0,1
2023-01-15,P002,Milk 1L,S02,32,35,50,199,50,0,1
2023-01-15,P003,Wheat 5kg,S01,22,180,230,27,40,0,1
2023-01-15,P004,Sugar 1kg,S03,13,40,60,135,60,0,1
2023-01-16,P001,Rice 5kg,S01,47,200,250,32,30,1,0
2023-01-16,P002,Milk 1L,S02,38,35,50,109,50,0,0
2023-01-16,P003,Wheat 5kg,S01,31,180,230,148,40,0,0
2023-01-16,P004,Sugar 1kg,S03,9,40,60,137,60,0,0
2023-01-17,P001,Rice 5kg,S01,62,200,250,88,30,0,0
2023-01-17,P002,Milk 1L,S02,9,35,50,105,50,0,0
2023-01-17,P003,Wheat 5kg,S01,15,180,230,113,40,1,0
2023-01-17,P004,Sugar 1kg,S03,14,40,60,195,60,1,0
2023-01-18,P001,Rice 5kg,S01,38,200,250,42,30,0,0
2023-01-18,P002,Milk 1L,S02,19,35,50,157,50,0,0
2023-01-18,P003,Wheat 5kg,S01,49,180,230,23,40,0,0
2023-01-18,P004,Sugar 1kg,S03,27,40,60,147,60,0,0
2023-01-19,P001,Rice 5kg,S01,30,200,250,143,30,0,0
2023-01-19,P002,Milk 1L,S02,48,35,50,187,50,1,0
2023-01-19,P003,Wheat 5kg,S01,26,180,230,149,40,0,0
2023-01-19,P004,Sugar 1kg,S03,41,40,60,112,60,1,0
2023-01-20,P001,Rice 5kg,S01,32,200,250,154,30,0,0
2023-01-20,P002,Milk 1L,S02,26,35,50,40,50,1,0
2023-01-20,P003,Wheat 5kg,S01,38,180,230,196,40,0,0
2023-01-20,P004,Sugar 1kg,S03,42,40,60,171,60,1,0
2023-01-21,P001,Rice 5kg,S01,49,200,250,32,30,0,1
2023-01-21,P002,Milk 1L,S02,44,35,50,105,50,0,1
2023-01-21,P003,Wheat 5kg,S01,26,180,230,166,40,0,1
2023-01-21,P004,Sugar 1kg,S03,16,40,60,163,60,0,1
2023-01-22,P001,Rice 5kg,S01,46,200,250,72,30,0,1
2023-01-22,P002,Milk 1L,S02,37,35,50,186,50,1,1
2023-01-22,P003,Wheat 5kg,S01,17,180,230,94,40,0,1
2023-01-22,P004,Sugar 1kg,S03,20,40,60,156,60,1,1
2023-01-23,P001,Rice 5kg,S01,5,200,250,102,30,0,0
2023-01-23,P002,Milk 1L,S02,14,35,50,90,50,1,0
2023-01-23,P003,Wheat 5kg,S01,11,180,230,38,40,0,0
2023-01-23,P004,Sugar 1kg,S03,46,40,60,58,60,0,0
2023-01-24,P001,Rice 5kg,S01,21,200,250,167,30,0,0
2023-01-24,P002,Milk 1L,S02,53,35,50,132,50,0,0
2023-01-24,P003,Wheat 5kg,S01,30,180,230,39,40,0,0
2023-01-24,P004,Sugar 1kg,S03,26,40,60,31,60,1,0
2023-01-25,P001,Rice 5kg,S01,32,200,250,175,30,0,0
2023-01-25,P002,Milk 1L,S02,40,35,50,79,50,0,0
2023-01-25,P003,Wheat 5kg,S01,34,180,230,174,40,0,0
2023-01-25,P004,Sugar 1kg,S03,22,40,60,176,60,0,0
2023-01-26,P001,Rice 5kg,S01,49,200,250,29,30,1,0
2023-01-26,P002,Milk 1L,S02,9,35,50,82,50,0,0
2023-01-26,P003,Wheat 5kg,S01,37,180,230,124,40,0,0
2023-01-26,P004,Sugar 1kg,S03,12,40,60,152,60,1,0
2023-01-27,P001,Rice 5kg,S01,39,200,250,97,30,0,0
2023-01-27,P002,Milk 1L,S02,17,35,50,132,50,0,0
2023-01-27,P003,Wheat 5kg,S01,40,180,230,173,40,0,0
2023-01-27,P004,Sugar 1kg,S03,12,40,60,73,60,1,0
2023-01-28,P001,Rice 5kg,S01,47,200,250,131,30,0,1
2023-01-28,P002,Milk 1L,S02,36,35,50,85,50,1,1
2023-01-28,P003,Wheat 5kg,S01,39,180,230,57,40,0,1
2023-01-28,P004,Sugar 1kg,S03,25,40,60,71,60,0,1
2023-01-29,P001,Rice 5kg,S01,48,200,250,125,30,1,1
2023-01-29,P002,Milk 1L,S02,18,35,50,164,50,0,1
2023-01-29,P003,Wheat 5kg,S01,29,180,230,62,40,0,1
2023-01-29,P004,Sugar 1kg,S03,24,40,60,137,60,0,1
2023-01-30,P001,Rice 5kg,S01,9,200,250,115,30,0,0
2023-01-30,P002,Milk 1L,S02,32,35,50,111,50,0,0
2023-01-30,P003,Wheat 5kg,S01,22,180,230,31,40,0,0
2023-01-30,P004,Sugar 1kg,S03,34,40,60,174,60,0,0
2023-01-31,P001,Rice 5kg,S01,41,200,250,45,30,1,0
2023-01-31,P002,Milk 1L,S02,20,35,50,66,50,0,0
2023-01-31,P003,Wheat 5kg,S01,26,180,230,97,40,0,0
